date,unique_id,temperature,replicate,cell_density,cell_volume,time_since_innoc_hours,days
2016-12-09 12:08,25_2,25,2,11621,753.98,1014.382778,42.26594907
2016-12-09 12:10,25_3,25,3,11772,554.72,1014.407778,42.26699074
2016-12-09 12:13,25_4,25,4,11665,648.59,1014.457778,42.26907407
2016-12-09 12:14,25_5,25,5,11389,680.85,1014.487222,42.27030093
2016-12-09 12:20,32_4,32,4,4691,930.25,1014.583056,42.27429398
2016-12-09 12:22,32_5,32,5,3137,1040.11,1014.610278,42.27542824
2016-11-01 14:52,32_1,32,1,50,1023.7,105.1080556,4.379502315
2016-11-01 14:48,32_2,32,2,619,1076,105.0447222,4.376863426
2016-11-01 14:45,32_3,32,3,0,0,105.0038889,4.375162037
2016-11-01 14:38,32_4,32,4,0,0,104.8802778,4.370011574
2016-11-01 14:34,32_5,32,5,754,310.97,104.8108333,4.367118056
2016-11-10 8:34,32_1,32,1,1719,2696.48,314.8161111,13.11733796
2016-11-10 9:05,32_2,32,2,4060,1377.72,315.3336111,13.13890046
2016-11-10 9:07,32_3,32,3,4193,1513.41,315.3688889,13.14037037
2016-11-10 8:39,32_4,32,4,2554,1970.24,314.9008333,13.12086806
2016-11-10 8:45,32_5,32,5,1222,1920.02,314.9922222,13.12467593
2016-11-14 15:50,5_1,5,1,8274,1168.45,418.0725,17.4196875
2016-11-14 15:54,5_2,5,2,8756,1147.95,418.1394444,17.42247685
2016-11-14 15:56,5_3,5,3,7061,1304.02,418.1780556,17.42408565
2016-11-14 15:59,5_4,5,4,6965,1259.05,418.2222222,17.42592593
2016-11-14 16:01,5_5,5,5,6877,1265.28,418.2647222,17.42769676
2016-11-14 17:38,8_1,8,1,12674,940.76,419.88,17.495
2016-11-14 17:41,8_2,8,2,15474,883.41,419.9227778,17.49678241
2016-11-14 17:43,8_3,8,3,11535,925.64,419.9633333,17.49847222
